Date,Category,Region,Weather,Advertising,Discount,Month,Year,Season,Sales,Customer_Count,Profit
2022-01-01,Home Goods,East,Cloudy,1275.18,15.74,January,2022,Winter,2679.56,95,652.9
2022-01-02,Electronics,West,Cloudy,1893.89,24.74,January,2022,Winter,3859.05,147,924.16
2022-01-02,Apparel,East,Sunny,727.38,8.46,January,2022,Winter,2450.71,79,512.75
2022-01-02,Apparel,South,Rainy,1757.23,15.37,January,2022,Winter,3056.75,97,624.6
2022-01-05,Home Goods,North,Cloudy,1507.46,16.22,January,2022,Winter,2840.15,116,617.43
2022-01-05,Home Goods,North,Rainy,1576.36,10.18,January,2022,Winter,2384.53,81,594.5
2022-01-08,Electronics,West,Snowy,1506.01,5.62,January,2022,Winter,3180.64,52,726.82
2022-01-09,Electronics,North,Sunny,1599.58,18.25,January,2022,Winter,3360.72,120,725.93
2022-01-09,Electronics,South,Rainy,963.25,6.26,January,2022,Winter,2837.33,60,681.25
2022-01-10,Home Goods,South,Snowy,1681.06,12.21,January,2022,Winter,2723.22,98,614.62
2022-01-12,Home Goods,East,Cloudy,1145.15,10.42,January,2022,Winter,2341.12,83,606.44
2022-01-12,Apparel,East,Sunny,1835.09,24.44,January,2022,Winter,3325.99,145,719.69
2022-01-14,Electronics,North,Rainy,1452.63,26.57,January,2022,Winter,3573.38,167,782.16
2022-01-15,Apparel,West,Rainy,1394.48,15.83,January,2022,Winter,2963.2,99,768.8
2022-01-15,Home Goods,East,Rainy,1837.22,18.29,January,2022,Winter,3122.29,114,772.71
2022-01-16,Apparel,East,Sunny,1269.08,21.98,January,2022,Winter,2927.36,133,709.24
2022-01-17,Electronics,North,Snowy,1896.33,27.35,January,2022,Winter,3796.97,163,864.91
2022-01-18,Apparel,West,Rainy,1247.86,20.38,January,2022,Winter,2854.57,116,652.77
2022-01-19,Home Goods,West,Sunny,903.27,8.26,January,2022,Winter,2225.52,70,506.52
2022-01-20,Apparel,East,Rainy,995.36,23.74,January,2022,Winter,2866.93,146,652.04
2022-01-21,Apparel,West,Rainy,1548.97,16.48,January,2022,Winter,3001.96,113,727.34
2022-01-21,Apparel,South,Rainy,1858.04,24.6,January,2022,Winter,3486.31,149,829.54
2022-01-22,Electronics,North,Cloudy,1112.46,16.08,January,2022,Winter,3131.07,106,741.64
2022-01-22,Home Goods,East,Sunny,1455.64,15.4,January,2022,Winter,2721.77,94,604.67
2022-01-23,Apparel,West,Cloudy,1327.99,24.85,January,2022,Winter,3036.2,150,554.02
2022-01-25,Home Goods,North,Rainy,713.26,5.24,January,2022,Winter,2004.21,45,476.65
